id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,10
7,1,7,11
8,1,8,12
9,1,9,13
10,1,10,18
11,1,11,19
12,1,12,22
13,2,1,1
14,2,2,2
15,2,3,5
16,2,4,6
17,2,5,7
18,2,6,8
19,2,7,9
20,2,8,10
21,2,9,11
22,2,10,12
23,2,11,21
24,2,12,22
25,2,13,23
26,2,14,24
27,2,15,29
28,2,16,30
29,2,17,33
30,3,1,1
31,3,2,2
32,3,3,3
33,3,4,4
34,3,5,5
35,3,6,12
36,3,7,13
37,3,8,14
38,3,9,15
39,3,10,20
40,3,11,21
41,3,12,24
42,4,1,1
43,4,2,2
44,4,3,3
45,4,4,6
46,4,5,7
47,4,6,8
48,4,7,9
49,4,8,14
50,4,9,15
51,4,10,18
52,5,1,1
53,5,2,2
54,5,3,3
55,5,4,4
56,5,5,5
57,5,6,6
58,5,7,7
59,5,8,8
60,5,9,9
61,5,10,10
62,5,11,11
63,6,1,1
64,6,2,3
65,7,1,5
66,8,1,14
67,9,1,24
68,10,1,26
69,11,1,20
70,12,1,24
71,13,1,7
